2017-05-27 10:10:20.047 [Forwarding currentActivity on session 9327b075-d1c3-4441-b335-a16a072bc8d8 to remote] INFO  org.apache.http.impl.execchain.RetryExec - I/O exception (java.net.SocketException) caught when processing request to {}->http://127.0.0.1:4723: Connection reset
2017-05-27 10:10:20.047 [Forwarding currentActivity on session 9327b075-d1c3-4441-b335-a16a072bc8d8 to remote] INFO  org.apache.http.impl.execchain.RetryExec - Retrying request to {}->http://127.0.0.1:4723
2017-05-27 10:10:43.126 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-27 10:10:49.195 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-27 10:11:07.318 [main] INFO  com.ymt.operation.OperateAppium - udid:INMN8TDIK7QKH6EI
2017-05-27 10:11:10.403 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_follow_button_state]
2017-05-27 10:11:14.166 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_home_coupon_dialog_cancel]
2017-05-27 10:11:17.002 [main] INFO  com.ymt.traveler.Traveler - mainActivityString:.reconstract.MainActivity
2017-05-27 10:11:17.599 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:11:17.599 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:11:18.032 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:11:18.033 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:11:18.072 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:11:19.129 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:11:19.130 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:11:19.624 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:11:19.624 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:11:20.421 [main] INFO  com.ymt.operation.OperateAppium - 返回 do back
2017-05-27 10:11:21.520 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_RIGHT
2017-05-27 10:11:21.520 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_RIGHT
2017-05-27 10:11:22.235 [main] INFO  com.ymt.operation.OperateAppium -  .launcher.Launcher : SWIP_RIGHT ,duration 100
2017-05-27 10:11:24.331 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:29:48.986 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-27 10:29:55.072 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-27 10:30:12.898 [main] INFO  com.ymt.operation.OperateAppium - udid:INMN8TDIK7QKH6EI
2017-05-27 10:30:18.332 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_home_coupon_dialog_cancel]
2017-05-27 10:30:21.264 [main] INFO  com.ymt.traveler.Traveler - mainActivityString:.reconstract.MainActivity
2017-05-27 10:30:21.854 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:30:21.854 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:33:22.124 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:0
2017-05-27 10:33:22.125 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:back
2017-05-27 10:42:46.526 [main] INFO  com.ymt.tools.YamlUtil - C:\Users\sunsheng\Desktop\YmtAPP\src\main\resources\config.yml
2017-05-27 10:42:52.619 [main] INFO  com.ymt.traveler.AndroidTraveler - .ui.activity.SplashActivity
2017-05-27 10:43:09.589 [main] INFO  com.ymt.operation.OperateAppium - udid:INMN8TDIK7QKH6EI
2017-05-27 10:43:17.056 [main] WARN  com.ymt.operation.OperateAppium - 查找元素超时!!3秒之后还没找到元素 [By.id: com.ymatou.shop:id/tv_home_coupon_dialog_cancel]
2017-05-27 10:43:20.024 [main] INFO  com.ymt.traveler.Traveler - mainActivityString:.reconstract.MainActivity
2017-05-27 10:43:20.634 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_UP
2017-05-27 10:43:20.635 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_UP
2017-05-27 10:43:21.344 [main] INFO  com.ymt.operation.OperateAppium -  .reconstract.MainActivity : SWIP_UP ,duration 100
2017-05-27 10:43:23.015 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:43:23.429 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:43:23.430 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/0.ori.png
2017-05-27 10:43:23.985 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:43:23.986 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:43:24.427 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:14
2017-05-27 10:43:24.435 [main] INFO  com.ymt.traveler.Traveler - app name: com.ymatou.shop
2017-05-27 10:43:24.435 [main] INFO  com.ymt.traveler.Traveler - 元素定位xpath为://android.widget.LinearLayout[@resource-id='com.ymatou.shop:id/scv_home_fragment_header_cart']
2017-05-27 10:43:24.726 [main] INFO  com.ymt.operation.OperateAppium - element:[[AndroidDriver:  on LINUX (cc42e5b9-b942-40ae-8688-a400d130f819)] -> xpath: //android.widget.LinearLayout[@resource-id='com.ymatou.shop:id/scv_home_fragment_header_cart']],nextAction:Click
2017-05-27 10:43:24.796 [main] INFO  com.ymt.operation.OperateAppium - 随机点击控件tagName :android.widget.LinearLayout 
2017-05-27 10:43:24.810 [main] INFO  com.ymt.operation.OperateAppium - 随机点击控件Location :(894, 72) 
2017-05-27 10:43:26.374 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:43:26.767 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:43:26.767 [main] INFO  com.ymt.operation.OperateAppium - 点击截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/1.ori.png
2017-05-27 10:43:27.850 [main] INFO  com.ymt.traveler.Traveler - next action is : SWIP_DOWN
2017-05-27 10:43:27.850 [main] INFO  com.ymt.operation.OperateAppium - element:null,nextAction:SWIP_DOWN
2017-05-27 10:43:28.482 [main] INFO  com.ymt.operation.OperateAppium -  .reconstract.cart.channel.ui.CartActivity : SWIP_DOWN ,duration 100
2017-05-27 10:43:30.245 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:43:30.758 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:43:30.758 [main] INFO  com.ymt.operation.OperateAppium - 滑动的截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/2.ori.png
2017-05-27 10:43:31.347 [main] INFO  com.ymt.traveler.Traveler - next action is : Click
2017-05-27 10:43:31.347 [main] INFO  com.ymt.operation.OperateAppium - 开始获取pagesource
2017-05-27 10:43:31.567 [main] INFO  com.ymt.traveler.Traveler - 当前页面过滤掉不能点击的元素后可操作元素大小为:4
2017-05-27 10:43:31.570 [main] INFO  com.ymt.traveler.Traveler - app name: com.ymatou.shop
2017-05-27 10:43:31.570 [main] INFO  com.ymt.traveler.Traveler - 元素定位xpath为://android.widget.LinearLayout[@bounds='[0,140][1080,617]']
2017-05-27 10:43:31.686 [main] INFO  com.ymt.operation.OperateAppium - element:[[AndroidDriver:  on LINUX (cc42e5b9-b942-40ae-8688-a400d130f819)] -> xpath: //android.widget.LinearLayout[@bounds='[0,140][1080,617]']],nextAction:Click
2017-05-27 10:43:31.764 [main] INFO  com.ymt.operation.OperateAppium - 随机点击控件tagName :android.widget.LinearLayout 
2017-05-27 10:43:31.783 [main] INFO  com.ymt.operation.OperateAppium - 随机点击控件Location :(0, 140) 
2017-05-27 10:43:33.508 [main] INFO  com.ymt.operation.OperateAppium - 开始传输------
2017-05-27 10:43:33.964 [main] INFO  com.ymt.operation.OperateAppium - 传输本地完成------
2017-05-27 10:43:33.965 [main] INFO  com.ymt.operation.OperateAppium - 点击截图:C:/Users/sunsheng/Desktop/YmtAPP/results/screenshots/3.ori.png
